Id;Designator;Footprint;Quantity;Designation;Supplier and ref
1;C1, C2, C5, C8, C10, C13, C14, C15, C16, C18, C21, C22, C23;C_0805_2012Metric;13;0.1u;
2;C3, C4, C7, C12;T491A;4;10u;
3;C6, C11;C_0805_2012Metric;2;1u;
4;C9;T491A;1;4.7u;
5;C17, C24, C25;C_0805_2012Metric;3;10n;
6;C19;C_0805_2012Metric;1;10u;
7;C20;C_0805_2012Metric;1;100pF;
8;F1, F2;FUSC3226X100N;2;0ZCH0110AF2E;
9;J1;BELFUSE_SS-52400-002;1;SS-52400-002;
10;J2;JST_B2B-PH-SM4-TB;1;B2B-PH-SM4-TB;
11;J3;AMPHENOL_GSD090012SEU;1;GSD090012SEU;
12;J4;PinHeader_1x04_P2.54mm_Vertical;1;Conn_01x04_Pin;
13;J5;PinHeader_1x05_P2.54mm_Vertical;1;Conn_01x05_Pin;
14;LED1, LED4, LED5;LEDC2012X120N;3;LTST-C170KRKT;
15;LED2, LED6;LEDC2012X120N;2;LTST-C170GKT;
16;LED3;LEDC2012X120N;1;LTST-C170TBKT;
17;MK1;CUI_CMC-5042PF-AC;1;CMC-5042PF-AC;
18;Q1;TRANS_TEMT6000X01;1;TEMT6000X01;
19;Q2, Q3;SOT-23;2;BC817;
20;R1, R2, R6, R19, R23, R32, R33, R34;R_0805_2012Metric;8;10K;
21;R3, R4;R_0805_2012Metric;2;5.1K;
22;R5, R26;R_0805_2012Metric;2;2K;
23;R7, R8, R9, R10, R14, R18;R_0805_2012Metric;6;470;
24;R11, R30;R_0805_2012Metric;2;1K;
25;R12;R_0805_2012Metric;1;47K5;
26;R13;R_0805_2012Metric;1;22K1;
27;R15, R16, R20, R22;R_0805_2012Metric;4;50;
28;R17;TRIM_35WR100KLFTR;1;35WR100KLFTR;
29;R24, R25;R_0805_2012Metric;2;4K7;
30;R27, R28, R29;R_0805_2012Metric;3;1M;
31;R31;R_0805_2012Metric;1;22K;
32;S1, S2;SW_TL3305AF260QG;2;USLPT2819DT2TR;
33;TP1;TestPoint_Pad_D1.0mm;1;TestMosi_DI;
34;TP2;TestPoint_Pad_D1.0mm;1;TestMiso_DI;
35;TP3;TestPoint_Pad_D1.0mm;1;Test SCLK;
36;TP4;TestPoint_Pad_D1.0mm;1;Test CS_SD;
37;TP5;TestPoint_Pad_D1.0mm;1;Test CS;
38;U1;QFN50P400X400X100-21N;1;MCP73871-2CAI_ML;
39;U2;PSON65P250X250X100-8N;1;BME280;
40;U3;MODULE_ESP32-C3-WROOM-02-H4;1;ESP32-C3-WROOM-02-H4;
41;U4;SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm;1;CP2102N-Axx-xQFN20;
42;U5;SOT-23-6;1;USBLC6-2SC6;
43;U6;SOIC127P790X216-8N;1;W25Q32JVSSIQ;
44;U8;SOT65P210X110-5N;1;MAX4466EXK;
45;VR1;VREG_LM1117MPX-3.3_NOPB;1;LM1117MPX-3.3;
